movie_id,primary_title
tt0014064,Frozen Hearts
tt0014179,Kill or Cure
tt0014406,Return to Reason
tt0014538,Three Ages
tt0014646,"Aelita, the Queen of Mars"
tt0014672,America
tt0014945,Girl Shy
tt0015022,Janice Meredith
tt0015174,Die Nibelungen: Kriemhild's Revenge
tt0015214,Paris Asleep
tt0015400,The Thief of Bagdad
tt0015477,West of Hot Dog
tt0015624,The Big Parade
tt0015648,Battleship Potemkin
tt0015873,Grass: A Nation's Battle for Life
tt0016028,Little Annie Rooney
tt0016039,The Lost World
tt0016104,The Merry Widow
tt0016129,The Movies
tt0016308,Sally of the Sawdust
tt0016392,The City Without Jews
tt0016395,Stella Dallas
tt0016545,Wolfblood
tt0016630,Battling Butler
tt0016654,The Black Pirate
tt0016690,Brown of Harvard
tt0016832,Exit Smiling
tt0017048,A Page of Madness
tt0017075,The Lodger: A Story of the London Fog
tt0017196,Nana
tt0017268,A Plantation Act
tt0017347,Saturday Afternoon
tt0017416,The Son of the Sheik
tt0017480,Torrent
tt0017483,"Tramp, Tramp, Tramp"
tt0017534,West Point
tt0017667,The Beloved Rogue
tt0017735,Captain Salvation
tt0017744,Charleston Parade
tt0017843,Easy Virtue
tt0017871,Felix in Hollywood
tt0017893,Flying Elephants
tt0017925,The General
tt0018016,Hula
tt0018037,The Jazz Singer
tt0018051,The Kid Brother
tt0018066,The End of St. Petersburg
tt0018294,Putting Pants on Philip
tt0018328,The Ring
tt0018368,The Second 100 Years
tt0018451,The Student Prince in Old Heidelberg
tt0018455,Sunrise
tt0018515,Two Arabian Knights
tt0018528,The Unknown
tt0018770,The Fall of the House of Usher
tt0018773,The Circus
tt0018836,The Divine Woman
tt0018839,The Docks of New York
tt0018876,The Farmer's Wife
tt0018925,The Gallopin' Gaucho
tt0019071,The Last Command
tt0019074,"Laugh, Clown, Laugh"
tt0019096,Lights of New York
tt0019098,Lilac Time
tt0019151,The Matinee Idol
tt0019304,The Racket
tt0019379,Show People
tt0019400,The Smart Set
tt0019403,Salt for Svanetia
tt0019422,Steamboat Willie
tt0019462,That Certain Thing
tt0019465,Their Purple Moment
tt0019556,We Faw Down
tt0019640,Angora Love
tt0019644,Applause
tt0019649,Arsenal
tt0020004,Seven Footprints to Satan
tt0020081,The Last of Mrs. Cheyney
tt0020092,The Letter
tt0020218,Night Parade
tt0020253,The Pagan
tt0020298,Queen Kelly
tt0020305,The Racketeer
tt0020366,Say It with Songs
tt0020403,Show of Shows
tt0020446,The Squall
tt0020475,Diary of a Lost Girl
tt0020488,Their Own Desire
tt0020492,The Thirteenth Chair
tt0020538,Untamed
tt0020556,The Virginian
tt0020589,Wild Orchids
tt0020641,Anna Christie
tt0020642,Anna Christie
tt0020643,Another Fine Mess
tt0020668,The Bat Whispers
tt0020691,The Big Trail
tt0020701,Borderline
tt0020739,Captain Applejack
tt0020768,City Girl
tt0020821,The Devil to Pay!
tt0020828,Dixiana
tt0020836,The Doorway to Hell
tt0020876,Feet First
tt0020949,Happy Days
tt0020983,Hold Anything
tt0021025,King of Jazz
tt0021060,Let Us Be Gay
tt0021074,Liliom
tt0021079,Little Caesar
tt0021132,The Matrimonial Bed
tt0021133,Maybe It's Love
tt0021149,Moby Dick
tt0021152,Montana Moon
tt0021191,A Notorious Affair
tt0021217,One Romantic Night
tt0021225,Outward Bound
tt0021228,Paid
tt0021239,Party Girl
tt0021273,Beauty Prize
tt0021280,One Heavenly Night
tt0021282,Rain or Shine
tt0021312,Sentimental Romance
tt0021327,Safety in Numbers
tt0021366,Shivering Shakespeare
tt0021400,Son of the Gods
tt0021408,Soup to Nuts
tt0021435,Sunny
tt0021487,A Tough Winter
tt0021492,True to the Navy
tt0021571,Earth
tt0021577,L'âge d'or
tt0021633,The Bachelor Father
tt0021649,Behind Office Doors
tt0021730,The Champ
tt0021746,Cimarron
tt0021750,City Streets
tt0021768,Cracked Nuts
tt0021778,"Dance, Fools, Dance"
tt0021785,Daughter of the Dragon
tt0021800,Dishonored
tt0021814,Dracula
tt0021861,Fighting Caravans
tt0021873,Five Star Final
tt0021890,The Front Page
tt0021921,The Good Bad Girl
tt0021931,The Guardsman
tt0021952,"Her Majesty, Love"
tt0021966,A Holy Terror
tt0022001,Inspiration
tt0022017,Comradeship
tt0022045,"Lady, Play Your Mandolin!"
tt0022059,Laughing Sinners
tt0022074,The Smiling Lieutenant
tt0022111,The Maltese Falcon
tt0022120,Manhattan Parade
tt0022149,Millie
tt0022150,Le Million
tt0022180,Suicide Fleet
tt0022208,Night Nurse
tt0022236,Other Men's Women
tt0022251,Pardon Us
tt0022273,Politics
tt0022286,The Public Enemy
tt0022302,The Red Shadow
tt0022308,Scarlet Dawn
tt0022335,Safe in Hell
tt0022373,Sherlock Holmes' Fatal Hour
tt0022387,Singapore Sue
tt0022402,The Stolen Jools
tt0022418,The Speckled Band
tt0022430,The Star Witness
tt0022458,Tabu: A Story of the South Seas
tt0022469,Ten Cents a Dance
tt0022501,Transgression
tt0022550,Waterloo Bridge
tt0022565,Windy Riley Goes Hollywood
tt0022599,Freedom for Us
tt0022614,The Age of Consent
tt0022639,Arsène Lupin
tt0022689,Bird of Paradise
tt0022698,Blonde Venus
tt0022782,County Hospital
tt0022788,The Crooked Circle
tt0022792,The Crowd Roars
tt0022802,The Dark Horse
tt0022867,Ecstasy
tt0022882,Fast Life
tt0022883,The Fatal Glass of Beer
tt0022905,Forbidden
tt0022958,Grand Hotel
tt0022971,The Half-Naked Truth
tt0022979,The Hatchet Man
tt0022981,Haunted Gold
tt0022991,Hell's House
tt0023028,Hot Saturday
tt0023034,Huddle
tt0023037,Land Without Bread
tt0023042,I Am a Fugitive from a Chain Gang
tt0023139,Life Begins
tt0023153,Love Affair
tt0023158,Love Me Tonight
tt0023198,The Match King
tt0023241,Movie Crazy
tt0023305,One Way Passage
tt0023327,Penguin Pool Murder
tt0023335,The Phantom of Crestwood
tt0023342,Play Girl
tt0023358,Prosperity
tt0023369,Rain
tt0023395,East of Shanghai
tt0023458,Shanghai Express
tt0023490,Sneak Easily
tt0023498,Speak Easily
tt0023523,Strange Interlude
tt0023551,Tarzan the Ape Man
tt0023563,The Testament of Dr. Mabuse
tt0023583,The Thirteenth Guest
tt0023590,Three on a Match
tt0023604,Tombstone Canyon
tt0023629,Two Seconds
tt0023652,Vanity Fair
tt0023669,War Babies
tt0023684,Westward Passage
tt0023749,Air Hostess
tt0023753,Alice in Wonderland
tt0023759,Ann Vickers
tt0023761,Another Language
tt0023775,Baby Face
tt0023789,Beer and Pretzels
tt0023838,The Bowery
tt0023878,Central Airport
tt0023891,Christopher Strong
tt0023940,Design for Living
tt0023945,The Devil's in Love
tt0023950,Dirty Work
tt0023960,Double Harness
tt0023973,The Eagle and the Hawk
tt0023990,Eskimo
tt0023996,F. P. 1 Doesn't Answer
tt0024028,Footlight Parade
tt0024032,Forgotten Babies
tt0024078,Grand Slam
tt0024092,Havana Widows
tt0024100,Hell Below
tt0024130,Hold Your Man
tt0024176,In the Wake of the Bounty
tt0024210,The Kennel Murder Case
tt0024213,The Kid from Borneo
tt0024302,Man's Castle
tt0024314,The Mayor of Hell
tt0024320,Meet the Baron
tt0024327,Menu
tt0024359,Murder in the Private Car
tt0024367,The Mystery Squadron
tt0024405,Oliver Twist
tt0024421,Our Betters
tt0024426,Parachute Jumper
tt0024429,Parole Girl
tt0024433,Peg o' My Heart
tt0024465,The Power and the Glory
tt0024476,Professional Sweetheart
tt0024484,Rafter Romance
tt0024500,Riders of Destiny
tt0024509,Rufus Jones for President
tt0024516,Sagebrush Trail
tt0024538,Secret of the Blue Room
tt0024548,She Done Him Wrong
tt0024554,A Shriek in the Night
tt0024560,The Silver Cord
tt0024605,The Sphinx
tt0024625,A Study in Scarlet
tt0024674,To the Last Man
tt0024675,Today We Live
tt0024679,Tomorrow at Seven
tt0024727,The Vampire Bat
tt0024770,The White Sister
tt0024782,The Woman Condemned
tt0024819,The Age of Innocence
tt0024831,Anne of Green Gables
tt0024852,March of the Wooden Soldiers
tt0024865,The Barretts of Wimpole Street
tt0024870,Beggars in Ermine
tt0024890,The Big Shakedown
tt0024894,The Black Cat
tt0024897,Blind Date
tt0024906,Born to Be Bad
tt0024945,The Camels Are Coming
tt0024961,The Cat's-Paw
tt0025028,Dames
tt0025037,Death Takes a Holiday
tt0025069,The Dragon Murder Case
tt0025164,The Gay Divorcee
tt0025169,The Ghost Walks
tt0025173,The Girl from Missouri
tt0025227,The Hearts of Age
tt0025254,"Hips, Hips, Hooray!"
tt0025263,Hollywood Party
tt0025271,The House of Mystery
tt0025301,Imitation of Life
tt0025345,Kentucky Kernels
tt0025373,The Lawless Frontier
tt0025384,Let's Try Again
tt0025410,Little Miss Marker
tt0025420,The Lost Jungle
tt0025422,A Lost Lady
tt0025452,The Man Who Knew Too Much
tt0025455,The Man from Utah
tt0025464,Manhattan Melodrama
tt0025488,Men in Black
tt0025492,The Merry Frinks
tt0025529,Murder at the Vanities
tt0025569,No Greater Glory
tt0025580,Now and Forever
tt0025586,Of Human Bondage
tt0025590,The Old Fashioned Way
tt0025619,Palooka
tt0025628,"Paree, Paree"
tt0025665,Poor Cinderella
tt0025671,The Czar Wants to Sleep
tt0025699,Randy Rides Alone
tt0025712,The Return of Chandu
tt0025725,The Road to Ruin
tt0025747,The Scarlet Letter
tt0025785,The Show-Off
tt0025797,Sing and Like It
tt0025799,Six of a Kind
tt0025822,Spitfire
tt0025830,The Star Packer
tt0025833,Stingaree
tt0025850,Sweet Adeline
tt0025862,Tarzan and His Mate
tt0025935,Upperworld
tt0025969,West of the Divide
tt0025997,The Wise Little Hen
tt0026023,Zou Zou
tt0026046,Ah Wilderness!
tt0026073,Annie Oakley
tt0026095,La bandera
tt0026110,Betty Boop with Henry the Funniest Living American
tt0026129,Bordertown
tt0026139,Bright Lights
tt0026157,Bulldog Courage
tt0026249,The Crusades
tt0026273,The Desert Trail
tt0026276,The Devil Is a Woman
tt0026313,Enchanted April
tt0026388,Front Page Woman
tt0026420,Going Highbrow
tt0026421,Gold Diggers of 1935
tt0026426,The Goose and the Gander
tt0026452,Hands Across the Table
tt0026481,Hollywood Capers
tt0026529,The Informer
tt0026564,Carnival in Flanders
tt0026656,Love in Bloom
tt0026705,Metropolitan
tt0026725,Les Misérables
tt0026740,Murder by Television
tt0026741,Murder in Harlem
tt0026755,The Mysterious Mr. Wong
tt0026781,The Nitwits
tt0026819,One Frightened Night
tt0026835,Our Little Girl
tt0026875,Poker at Eight
tt0026891,Princesse Tam-Tam
tt0026908,Rainbow Valley
tt0026912,The Raven
tt0026942,Roberta
tt0026966,Sanders of the River
tt0026970,The Scoundrel
tt0026973,The Secret Bride
tt0026991,A Shot in the Dark
tt0027040,Star of Midnight
tt0027067,Sylvia Scarlett
tt0027125,Top Hat
tt0027189,The Wedding Night
tt0027204,While the Patient Slept
tt0027250,Absolute Quiet
tt0027366,Black Gold
tt0027395,The Bride Walks Out
tt0027421,Captain January
tt0027455,Colleen
tt0027468,The Country Cousin
tt0027496,Dancing Pirate
tt0027504,Death from a Distance
tt0027527,Dimples
tt0027552,"Bizarre, Bizarre"
tt0027585,Every Sunday
tt0027593,The Ex-Mrs. Bradford
tt0027616,La Fiesta de Santa Barbara
tt0027623,Flash Gordon
tt0027630,Follow the Fleet
tt0027654,Gambling with Souls
tt0027656,The Garden Murder Case
tt0027657,The Garden of Allah
tt0027660,The Gay Desperado
tt0027665,General Spanky
tt0027672,Sisters of the Gion
tt0027684,Go West Young Man
tt0027687,The Golden Arrow
tt0027697,Great Guy
tt0027699,Greedy Humpty Dumpty
tt0027700,The Green Pastures
tt0027714,Half Shot Shooters
tt0027779,I Love to Singa
tt0027791,Important News
tt0027800,The Invisible Ray
tt0027824,Juggernaut
tt0027849,King of the Pecos
tt0027869,The Last of the Mohicans
tt0027889,The Lion Man
tt0027893,Little Lord Fauntleroy
tt0027906,The Longest Night
tt0027908,Love Before Breakfast
tt0027963,Mickey's Polo Team
tt0027969,The Milky Way
tt0027985,More Than a Secretary
tt0028004,Murder with Pictures
tt0028054,The Old Corral
tt0028057,The Old Mill Pond
tt0028059,On the Wrong Trek
tt0028096,The Petrified Forest
tt0028097,Petticoat Fever
tt0028108,The Plainsman
tt0028132,Postal Inspector
tt0028144,Public Enemy's Wife
tt0028174,Revolt of the Zombies
tt0028178,Rhythm on the Range
tt0028203,Romeo and Juliet
tt0028216,San Francisco
tt0028241,Shadow of Chinatown
tt0028313,The Story of Louis Pasteur
tt0028330,Suzy
tt0028345,Tarzan Escapes
tt0028346,Reefer Madness
tt0028352,The Texas Rangers
tt0028353,"Thank You, Jeeves!"
tt0028358,Things to Come
tt0028373,Three Smart Girls
tt0028389,To Spring
tt0028426,Two Against the World
tt0028444,Undersea Kingdom
tt0028445,A Day in the Country
tt0028447,The Unguarded Hour
tt0028478,The Walking Dead
tt0028505,Wife vs. Secretary
tt0028589,Assassin of Youth
tt0028597,The Awful Truth
tt0028653,Born to the West
tt0028665,Broadway Melody of 1938
tt0028667,Bulldog Drummond Comes Back
tt0028676,Café Metropole
tt0028755,Damaged Lives
tt0028757,A Damsel in Distress
tt0028785,Dick Tracy
tt0028804,Double Wedding
tt0028829,The Emperor's Candlesticks
tt0028850,A Family Affair
tt0028872,Fire Over England
tt0028944,The Good Earth
tt0028955,The Great O'Malley
tt0028971,Gunsmoke Ranch
tt0028988,Heidi
tt0029010,Hollywood Hotel
tt0029028,The House of Secrets
tt0029120,The Last of Mrs. Cheyney
tt0029145,The Life of the Party
tt0029146,The Life of Emile Zola
tt0029159,London by Night
tt0029190,Maid of Salem
tt0029207,The Mandarin Mystery
tt0029245,The Mill on the Floss
tt0029284,My Favorite Wife
tt0029322,Nothing Sacred
tt0029401,Pick a Star
tt0029402,Pigs Is Pigs
tt0029429,Porky's Railroad
tt0029431,Porky's Romance
tt0029440,The Prince and the Pauper
tt0029442,The Prisoner of Zenda
tt0029454,Quality Street
tt0029467,"Ready, Willing and Able"
tt0029544,Shadows of the Orient
tt0029578,Slaves in Bondage
tt0029588,Something to Sing About
tt0029606,A Star Is Born
tt0029608,Stella Dallas
tt0029626,"Swing High, Swing Low"
tt0029650,That Certain Woman
tt0029656,They Gave Him a Gun
tt0029662,This Is My Affair
tt0029675,The Toast of New York
tt0029706,Un carnet de bal
tt0029737,Vogues of 1938
tt0029761,When You're in Love
tt0029786,Wise Girl
tt0029789,Woman Chases Man
tt0029808,You Only Live Once
tt0029818,Zorro Rides Again
tt0029836,Accidents Will Happen
tt0029850,Alexander Nevsky
tt0029855,Algiers
tt0029912,The Big Broadcast of 1938
tt0029929,Bluebeard's Eighth Wife
tt0029952,Bulldog Drummond's Peril
tt0030007,Comet Over Broadway
tt0030018,The Cowboy and the Lady
tt0030019,Cowboy from Brooklyn
tt0030031,The Crowd Roars
tt0030063,The Divorce of Lady X
tt0030078,Doctor Rhythm
tt0030089,The Duke Is Tops
tt0030145,Fools for Scandal
tt0030149,Four Daughters
tt0030151,Four's a Crowd
tt0030171,Garden of the Moon
tt0030183,Girls on Probation
tt0030192,Gold Is Where You Find It
tt0030194,The Goldwyn Follies
tt0030252,Hotel du Nord
tt0030265,If I Were King
tt0030287,Jezebel
tt0030302,Just Around the Corner
tt0030386,Love Finds Andy Hardy
tt0030409,Man from Music Mountain
tt0030418,Marie Antoinette
tt0030433,Men Are Such Fools
tt0030440,Merbabies
tt0030470,Mr. Moto's Gamble
tt0030481,My Lucky Star
tt0030503,The Night Watchman
tt0030563,The Patient in Room 18
tt0030603,Porky in Egypt
tt0030651,Radio City Revels
tt0030696,Room Service
tt0030727,Secrets of an Actress
tt0030754,Sinners in Paradise
tt0030811,Suez
tt0030824,Swiss Miss
tt0030833,Tarzan's Revenge
tt0030845,The Terror of Tiny Town
tt0030850,The Texans
tt0030856,There Goes My Heart
tt0030857,There's Always a Woman
tt0030858,They Drive by Night
tt0030957,Wee Wee Monsieur
tt0031022,The Adventures of Sherlock Holmes
tt0031033,Allegheny Uprising
tt0031038,The Amazing Mr. Williams
tt0031045,Angels Wash Their Faces
tt0031055,The Arsenal Stadium Mystery
tt0031082,Barricade
tt0031125,Bulldog Drummond's Secret Police
tt0031203,Dancing Co-Ed
tt0031206,Dangerous Dan McFoo
tt0031207,Daredevils of the Red Circle
tt0031212,Daughters Courageous
tt0031235,Dodge City
tt0031335,Four Girls in White
tt0031350,The Frozen Limits
tt0031359,Gaslight
tt0031377,Golden Boy
tt0031387,The Gorilla
tt0031393,The Great Victor Herbert
tt0031394,The Green Hornet
tt0031397,Gulliver's Travels
tt0031398,Gunga Din
tt0031406,Harlem Rides the Range
tt0031409,Heaven with a Barbed Wire Fence
tt0031431,The Hockey Champ
tt0031433,Hollywood Cavalcade
tt0031466,I Take This Woman
tt0031491,Intermezzo
tt0031505,Jamaica Inn
tt0031507,Jesse James
tt0031536,King of the Underworld
tt0031549,Lady of the Tropics
tt0031565,Let Freedom Ring
tt0031572,The Light That Failed
tt0031602,Made for Each Other
tt0031641,Mexican Spitfire
tt0031676,Mr. Moto Takes a Vacation
tt0031677,Mr. Moto in Danger Island
tt0031704,The Mystery of Mr. Wong
tt0031712,Naughty But Nice
tt0031742,Of Mice and Men
tt0031747,The Oklahoma Kid
tt0031749,Old Glory
tt0031826,The Private Lives of Elizabeth and Essex
tt0031828,The Tunnel
tt0031831,Clouds Over Europe
tt0031880,Rough Riders' Round-up
tt0031890,The Saint Strikes Back
tt0031891,The Saint in London
tt0031937,Smashing the Money Ring
tt0031955,Sorority House
tt0031999,Swing!
tt0032007,Tarzan Finds a Son!
tt0032022,They Made Me a Criminal
tt0032023,They Shall Have Music
tt0032028,The Three Musketeers
tt0032044,Torchy Blane.. Playing with Dynamite
tt0032047,Torture Ship
tt0032130,Wings of the Navy
tt0032152,You Can't Cheat an Honest Man
tt0032155,Young Mr. Lincoln
tt0032164,Zorro's Fighting Legion
tt0032186,You're Missing the Point
tt0032194,"All This, and Heaven Too"
tt0032205,And One Was Beautiful
tt0032206,Andy Hardy Meets Debutante
tt0032245,Before I Hang
tt0032247,Beyond Tomorrow
tt0032254,The Biscuit Eater
tt0032281,Brigham Young
tt0032285,Brother Orchid
tt0032324,Charlie Chan at the Wax Museum
tt0032338,Christmas in July
tt0032406,Chamber of Horrors
tt0032410,Down Argentine Way
tt0032414,Dr. Kildare Goes Home
tt0032455,Fantasia
tt0032474,The Flag of Humanity
tt0032477,Flight Command
tt0032553,The Great Dictator
tt0032557,The Green Archer
tt0032599,His Girl Friday
tt0032617,I Love You Again
tt0032636,Invisible Stripes
tt0032641,Island of Doomed Men
tt0032676,Knute Rockne All American
tt0032687,Lady with Red Hair
tt0032717,Little Men
tt0032728,The Long Voyage Home
tt0032753,The Man with Nine Lives
tt0032779,Melody Ranch
tt0032799,Misbehaving Husbands
tt0032819,Murder Over New York
tt0032828,My Little Chickadee
tt0032833,Mystery in Swing
tt0032847,"No, No, Nanette"
tt0032851,Northwest Passage
tt0032881,Our Town
tt0032901,Phantom Raiders
tt0032902,Phantom Rancher
tt0032933,Porky's Poor Fish
tt0032986,Rhythm on the River
tt0032995,Rockin' Thru the Rockies
tt0033013,The Saint Takes Over
tt0033014,The Saint's Double Trouble
tt0033022,Saps at Sea
tt0033045,The Shop Around the Corner
tt0033105,Strange Cargo
tt0033152,The Thief of Bagdad
tt0033159,Three Faces West
tt0033173,Too Many Girls
tt0033174,Too Many Husbands
tt0033191,Two Girls on Broadway
tt0033226,Virginia City
tt0033236,Waldo's Last Stand
tt0033275,Request Concert
tt0033283,You'll Find Out
tt0033314,Adam Had Four Sons
tt0033319,Affectionately Yours
tt0033323,All-American Co-Ed
tt0033324,All This and Rabbit Stew
tt0033368,The Bad Man
tt0033388,The Big Store
tt0033405,Blood and Sand
tt0033428,Bowery Blitzkrieg
tt0033432,The Bride Came C.O.D.
tt0033436,Buck Privates
tt0033455,Caught in the Draft
tt0033489,The Iron Crown
tt0033496,A Coy Decoy
tt0033512,Dangerously They Live
tt0033575,Elmer's Pet Rabbit
tt0033576,Emergency Landing
tt0033582,The Face Behind the Mask
tt0033606,The Flame of New Orleans
tt0033660,The Ghost Train
tt0033672,Goofy Groceries
tt0033676,Great Guns
tt0033712,Here Comes Mr. Jordan
tt0033724,Hollywood Steps Out
tt0033727,Mr. Bug Goes to Town
tt0033728,Horror Island
tt0033771,Jesse James at Bay
tt0033774,Johnny Eager
tt0033787,King of the Zombies
tt0033827,Let's Go Collegiate
tt0033832,Life Begins for Andy Hardy
tt0033851,Louisiana Purchase
tt0033870,The Maltese Falcon
tt0033871,A Man Betrayed
tt0033873,Man Hunt
tt0033888,Superman: The Mechanical Monsters
tt0033890,Meet Boston Blackie
tt0033902,Men of Boys Town
tt0033922,Mr. & Mrs. Smith
tt0033932,My Life with Caroline
tt0033949,Niagara Falls
tt0033998,Paper Bullets
tt0034012,Penny Serenade
tt0034097,Rhapsody in Rivets
tt0034122,Robot Wrecks
tt0034182,The Shepherd of the Hills
tt0034203,Smilin' Through
tt0034224,Spooks Run Wild
tt0034236,The Strawberry Blonde
tt0034240,Sullivan's Travels
tt0034241,Sun Valley Serenade
tt0034242,Sundown
tt0034248,Suspicion
tt0034273,That Night in Rio
tt0034277,They Died with Their Boots On
tt0034283,Murder in 3-D
tt0034303,Topper Returns
tt0034328,Two-Faced Woman
tt0034342,Unholy Partners
tt0034384,Western Union
tt0034389,Whistling in the Dark
tt0034398,The Wolf Man
tt0034399,A Woman's Face
tt0034407,You Belong to Me
tt0034416,Zis Boom Bah
tt0034455,American Empire
tt0034486,Baby Face Morgan
tt0034515,Superman: Billion Dollar Limited
tt0034521,Black Dragons
tt0034522,The Black Swan
tt0034543,Born to Sing
tt0034551,Brooklyn Orchid
tt0034613,The Corpse Vanishes
tt0034622,Crossroads
tt0034707,Escape from Crime
tt0034711,Eyes in the Night
tt0034734,Spitfire
tt0034753,Fraidy Cat
tt0034770,The Gay Sisters
tt0034778,Gentleman Jim
tt0034780,George Washington Slept Here
tt0034798,The Glass Key
tt0034808,Grand Central Murder
tt0034845,The Hep Cat
tt0034846,Her Cardboard Lover
tt0034881,I Married a Witch
tt0034882,I Married an Angel
tt0034891,In Which We Serve
tt0034902,Invisible Agent
tt0034913,Superman: Japoteurs
tt0034917,Jive Junction
tt0034922,Journey Into Fear
tt0034959,Lady Gangster
tt0034965,"Larceny, Inc"
tt0034968,Law of the Jungle
tt0034973,Let's Get Tough!
tt0034998,Lucky Jordan
tt0035009,The Mad Monster
tt0035031,Man with Two Lives
tt0035091,Mister Gardenia Jones
tt0035096,The Mummy's Tomb
tt0035124,Night Monster
tt0035160,Obsession
tt0035167,Pacific Rendezvous
tt0035183,The Peterville Diamond
tt0035185,Phantom Killer
tt0035244,Reap the Wild Wind
tt0035262,Road to Morocco
tt0035279,Saboteur
tt0035301,Secret Mission
tt0035309,Seven Sweethearts
tt0035317,Sherlock Holmes and the Secret Weapon
tt0035320,Ship Ahoy
tt0035369,The Spoilers
tt0035372,Spy Smasher
tt0035386,The Strange Case of Doctor Rx
tt0035399,Surprised Parties
tt0035429,Went the Day Well?
tt0035430,They Raid by Night
tt0035431,This Above All
tt0035502,Valley of the Sun
tt0035562,Wildcat
tt0035570,X Marks the Spot
tt0035573,A Yank in Libya
tt0035583,You Were Never Lovelier
tt0035646,The Aristo-Cat
tt0035648,Around the World
tt0035659,Background to Danger
tt0035679,The Black Raven
tt0035689,Bombardier
tt0035749,Coney Island
tt0035755,Corregidor
tt0035764,Crazy House
tt0035777,The Dancing Masters
tt0035798,The Desperadoes
tt0035829,Du Barry Was a Lady
tt0035856,The Falcon in Danger
tt0035866,Farm Hands
tt0035884,Five Graves to Cairo
tt0035938,The Ghost and the Guest
tt0035958,'Gung Ho!': The Story of Carlson's Makin Island Raiders
tt0035966,Hangmen Also Die!
tt0035979,Heaven Can Wait
tt0035980,The Heavenly Body
tt0036022,The Human Comedy
tt0036038,In Old Oklahoma
tt0036041,Inki and the Minah Bird
tt0036050,An Itch in Time
tt0036051,Jack London
tt0036104,The Leopard Man
tt0036125,The Mad Ghoul
tt0036135,The Man in Grey
tt0036182,My Friend Flicka
tt0036203,A Night to Remember
tt0036253,Passport to Suez
tt0036260,Phantom Lady
tt0036275,Presenting Lily Mars
tt0036295,Red Hot Riding Hood
tt0036306,Reveille with Beverly
tt0036307,Revenge of the Zombies
